athlete_id,athlete_display_name,stat,line,season_avg,season_std,games_played,games_over,hit_rate_season,hit_rate_L5,hit_rate_L10,hit_rate_home,hit_rate_away,prob_empirical,prob_poisson,prob_normal,prob_ensemble,confidence,edge_direction,edge_strength
4433690,Holly Winterburn,PRA,25.5,4.571428571428571,4.070801956792859,14,0,0.0,0.0,0.0,0.0,0.0,0.0,4.470152781683194e-12,1.36536691164632e-07,4.551372043913789e-08,High,UNDER,Strong
4433690,Holly Winterburn,PRA,28.5,4.571428571428571,4.070801956792859,14,0,0.0,0.0,0.0,0.0,0.0,0.0,1.909759028016865e-14,2.0750404247159867e-09,6.916865074354222e-10,High,UNDER,Strong
4433690,Holly Winterburn,PRA,30.5,4.571428571428571,4.070801956792859,14,0,0.0,0.0,0.0,0.0,0.0,0.0,4.244543382852033e-16,9.488372273165922e-11,3.162804906199917e-11,High,UNDER,Strong
4433690,Holly Winterburn,PRA,32.5,4.571428571428571,4.070801956792859,14,0,0.0,0.0,0.0,0.0,0.0,0.0,8.319512644391742e-18,3.4260761930897866e-12,1.142028170867477e-12,High,UNDER,Strong
4433690,Holly Winterburn,PRA,35.5,4.571428571428571,4.070801956792859,14,0,0.0,0.0,0.0,0.0,0.0,0.0,1.8324777008514034e-20,1.5076600812749015e-14,5.025539712508674e-15,High,UNDER,Strong
4433690,Holly Winterburn,PRA,38.5,4.571428571428571,4.070801956792859,14,0,0.0,0.0,0.0,0.0,0.0,0.0,3.1595599255752317e-23,3.887503224616522e-17,1.2958354613921493e-17,High,UNDER,Strong
4433690,Holly Winterburn,PRA,40.5,4.571428571428571,4.070801956792859,14,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0017640794711312e-25,5.428192365157275e-19,1.809398788973785e-19,High,UNDER,Strong
4433730,Paige Bueckers,points,8.5,20.88,6.450581369148055,25,24,0.96,1.0,1.0,1.0,0.9285714285714286,0.96,0.99880550532867,0.9725209200024257,0.9771088084436985,High,OVER,Strong
4433730,Paige Bueckers,points,10.5,20.88,6.450581369148055,25,22,0.88,1.0,1.0,0.8181818181818182,0.9285714285714286,0.88,0.9933174317463374,0.9462090230288851,0.9398421515917409,High,OVER,Strong
4433730,Paige Bueckers,points,12.5,20.88,6.450581369148055,25,22,0.88,1.0,1.0,0.8181818181818182,0.9285714285714286,0.88,0.9740172454858438,0.9030465164819587,0.9190212539892676,High,OVER,Strong
